SiteName,SiteID,PrimaryUse,Borough,AreaHa,Easting,Northing,Qualifier,Access,DataSource,DataVersion,ReleaseDate,Copyright
"Grand Union Canal, Tunnel to Dunbury St",OS_Is_0126,Canal,Islington,0.3368,531785,183275,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Barnard Park,OS_Is_0030,Park,Islington,4.1297,531011,183743,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Compton Terrace Public Open Space,OS_Is_0077,Formal garden,Islington,0.3544,531637,184533,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Gibson Square Gardens,OS_Is_0120,Park,Islington,0.2894,531476,183835,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Carfree Open Space,OS_Is_0478,Amenity green space,Islington,0.1021,531340,184385,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Wilmington Square Garden,OS_Is_0326,Formal garden,Islington,0.3897,531172,182563,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St Andrews Gardens,OS_Ca_0176,Formal garden,Camden,0.6731,530785,182416,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Exmouth Market,OS_Is_0453,Civic/market square,Islington,0.0664,531189,182397,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Piper Close Open Space,OS_Is_0436,Formal garden,Islington,0.1912,530636,184995,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Caledonian Road / Stanmore Street,OS_Is_0483,Amenity green space,Islington,0.026,530678,183869,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Maiden Lane open space and playground,OS_Ca_0444,Play space,Camden,0.1515,530005,184282,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Gordon Square Garden,OS_Ca_0189,Formal garden,Camden,0.9195,529767,182248,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
102 Camley Street play space,OS_Ca_0450,Play space,Camden,0.0253,529788,183731,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cumberland Market Estate Playground,OS_Ca_0271,Play space,Camden,0.0481,528936,182883,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Derwent open space,OS_Ca_0433,Amenity green space,Camden,0.0601,529082,182733,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Clarence Gardens,OS_Ca_0042,Formal garden,Camden,0.3049,528947,182624,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Castlehaven Community Park,OS_Ca_0101,Park,Camden,0.8983,528732,184329,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St George's Terrace Open Space,OS_Ca_0217,Formal garden,Camden,0.0998,527809,183989,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
West Kentish Town Estate,OS_Ca_0380,Amenity green space,Camden,0.6444,528393,184990,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Falkland Place Open Space,OS_Ca_0220,Play space,Camden,0.0639,529030,185266,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Carlton Playing Court,OS_Ca_0303,Other recreational,Camden,0.1015,528434,185243,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Belsize Wood Nature Reserve,OS_Ca_0021,Nature reserve,Camden,0.2851,527499,185260,Centroid,Restricted,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Talacre Open Space,OS_Ca_0188,Park,Camden,1.8896,528504,184746,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"St Martin's Church, Gospel Oak",OS_Ca_0399,Cemetery/churchyard,Camden,0.1175,528168,185285,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Joseph Hood Recreation Ground,OS_Me_0098,Recreation ground,Merton,8.4876,524047,168693,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Water Meads Open Space,OS_Me_0273,Park,Merton,2.3796,527008,167885,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Pipewell Road Amenity Green Space,OS_Su_0482,Amenity green space,Sutton,0.1103,527074,167234,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
River Wandle Woodland,OS_Su_0223,River,Sutton,2.336,527580,167229,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Primrose Hill,OS_Ca_0160,Park,Camden,25.2299,527629,183828,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cambridge Square,OS_Br_0035,Formal garden,Brent,0.138,525386,183232,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Trinity Square Gardens,OS_TH_0279,Formal garden,Tower Hamlets,0.4743,533511,180739,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Gunnersbury Triangle,OS_MB_0039,Nature reserve,Ealing; Hounslow,2.7253,520113,178667,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Raeburn Open Space,OS_Ki_0185,Nature reserve,Kingston upon Thames,5.0051,519811,167504,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
SOAS Open Space,OS_Ca_0421,Amenity green space,Camden,0.1249,529911,181953,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Inigo Jones Gardens,OS_We_0070,Formal garden,Westminster,0.2243,530275,180830,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Seating at Holborn Circus,OS_Ci_0260,Civic/market square,City of London,0.0194,531416,181538,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Moreton Green,OS_Me_0307,Amenity green space,Merton,3.9604,526437,167282,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cottenham Park,OS_Me_0043,Recreation ground,Merton,3.007,522714,169777,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Central Saint Giles,OS_Ca_0248,Civic/market square,Camden,0.1158,529997,181324,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
New Square Gardens,OS_Ca_0147,Formal garden,Camden,0.305,530988,181327,Centroid,Restricted,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St John's Notting Hill Churchyard,OS_KC_0394,Cemetery/churchyard,Kensington and Chelsea,0.1815,524605,180601,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Westbere Copse Public Open Space,OS_Ca_0208,Public woodland,Camden,0.1659,524472,185308,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Quex Road Playground,OS_Ca_0276,Play space,Camden,0.041,525409,183955,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Heritage Lane Square,OS_Ca_0453,Civic/market square,Camden,0.0355,525507,184685,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
West End Lane,OS_Ca_0201,Park,Camden,0.1284,525407,185251,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Westbere Copse (Jenny Wood) Nature Reserve,OS_Ca_0207,Nature reserve,Camden,0.2288,524449,185298,Centroid,Restricted,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Mill Lane (no. 160),OS_Ca_0141,Play space,Camden,0.1648,525308,185167,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Paddington Recreation Ground,OS_We_0119,Recreation ground,Westminster,10.6359,525585,182824,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Paddington Old Cemetery,OS_Br_0155,Cemetery/churchyard,Brent,10.0606,524573,183757,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Granville Road Open Space,OS_Br_0094,Park,Brent,0.2393,525192,183122,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St Augustine's Church,OS_We_0152,Cemetery/churchyard,Westminster,0.4424,525527,183144,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Woodhouse Urban Park,OS_Br_0287,Park,Brent,0.199,524860,183177,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"Playground, Adjacent To St Mary Abbots Garden",OS_KC_0258,Play space,Kensington and Chelsea,0.0909,525505,179695,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Slade Gardens,OS_La_0226,Park,Lambeth,2.0456,531045,176373,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Fowkes' Buildings,OS_Ci_0117,Civic/market square,City of London,0.0087,533268,180697,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Fleet Valley Pocket Park,OS_Ca_0254,Park,Camden,0.0629,531022,182143,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Milkwood Community Park,OS_La_0169,Park,Lambeth,0.7474,532033,175243,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"Open Space, In Front Of 56/94 Chelsea Park Gardens",OS_KC_0244,Formal garden,Kensington and Chelsea,0.0856,526667,177780,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St Albans and St Mary with St Alban Churchyards,OS_RT_0195,Cemetery/churchyard,Richmond upon Thames,0.5513,516562,171288,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Dunster Court (Mincing Lane),OS_Ci_0061,Civic/market square,City of London,0.0728,533274,180899,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cavendish Square,OS_We_0019,Formal garden,Westminster,0.6481,528807,181362,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Strode Road Open Space,OS_HF_0071,Recreation ground,Hammersmith and Fulham,1.3248,523935,177425,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Albert Embankment Gardens,OS_La_0329,Road island/verge,Lambeth,0.4983,530451,178504,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St John's Gardens (Westminster),OS_We_0163,Formal garden,Westminster,0.5843,530048,178931,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Holland Garden Square,OS_KC_0157,Formal garden,Kensington and Chelsea,0.2929,524413,179239,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Woodland by river (Brent Lodge Park),OS_Ea_0513,Nature reserve,Ealing,4.0608,514622,180499,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Mill Road Open Space,OS_RT_0392,Amenity green space,Richmond upon Thames,0.138,514385,172822,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
John Innes Recreation Ground,OS_Me_0096,Playing fields,Merton,1.7543,524596,169220,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Alpha Road Open Space,OS_RT_0001,Park,Richmond upon Thames,0.2473,514685,171319,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Victoria Tower Gardens South,OS_We_0200,Formal garden,Westminster,0.1797,530265,178899,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Latchmere Recreation Ground,OS_Wa_0111,Park,Wandsworth,0.7807,527768,176372,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"Garden Square, Egerton Terrace",OS_KC_0109,Formal garden,Kensington and Chelsea,0.0279,527336,179102,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Grove Road Gardens (Richmond Upon Thames),OS_RT_0339,Park,Richmond upon Thames,0.4902,518887,174301,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Marlow Crescent,OS_RT_0116,Park,Richmond upon Thames,0.2212,515755,174217,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Dalmeny Crescent,OS_Ho_0118,Amenity green space,Hounslow,0.0878,514661,175390,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Malet Street Gardens,OS_Ca_0134,Formal garden,Camden,0.255,529876,181807,Centroid,Restricted,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Southern end of Barbican complex (Barbican Estate),OS_Ci_0163,Cemetery/churchyard,City of London,0.3346,532270,181628,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Whitfield Gardens,OS_Ca_0225,Formal garden,Camden,0.0944,529480,181864,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Victoria Gardens (Ealing),OS_Ea_0468,Play space,Ealing,0.0638,521249,182300,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Harlesden Town Garden,OS_Br_0269,Community garden,Brent,0.2385,521422,183798,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Learie Constantine Open Space,OS_Br_0121,Play space,Brent,0.1194,522181,184925,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Abbey Estate Open Space,OS_Br_0001,Park,Brent,1.2691,518736,183315,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Ealing Central Sports Ground,OS_Ea_0129,Playing fields,Ealing,10.5941,516145,183137,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Brentham River Side (North),OS_Ea_0052,Walking/cycling route,Ealing,0.5397,517673,182757,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Perivale Park and Meadows,OS_Ea_0345,Recreation ground,Ealing,18.6641,515073,182636,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Horsenden Allotments,OS_Ea_0233,Allotments,Ealing,1.0393,515913,185097,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Barham Park,OS_Br_0013,Park,Brent,10.3075,517250,185146,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Grove Farm (Ealing),OS_Ea_0190,Nature reserve,Ealing,8.4208,515112,185319,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Dog Kennel Hill Open Space,OS_So_0180,Park,Southwark,0.9037,533121,175488,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Princes Circus (north),OS_Ca_0428,Civic/market square,Camden,0.1223,530108,181412,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Draycott Close Playground,OS_So_0285,Play space,Southwark,0.1314,532740,177235,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Somerset House,OS_We_0150,Civic/market square,Westminster,0.3747,530755,180807,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Burgess Park,OS_So_0018,Playing fields,Southwark,44.9874,533285,177794,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Jubilee Gardens (Tower Hamlets),OS_TH_0129,Formal garden,Tower Hamlets,0.2521,535119,181413,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Furness Road and Tubbs Road,OS_Br_0270,Amenity green space,Brent,0.0783,522175,183053,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
All Saints Recreation Ground,OS_Me_0006,Recreation ground,Merton,0.5108,526494,170281,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Moat Gardens (Bishops Park and Fulham Palace Grounds),OS_HF_0043,Park,Hammersmith and Fulham,1.6661,524217,176356,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cranleigh Park/Gardens,OS_Ea_0101,Park,Ealing,0.7684,512689,181414,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
All Saints' Church,OS_Ho_0229,Cemetery/churchyard,Hounslow,0.6569,516785,176127,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Barnfield,OS_Ki_0007,Playing fields,Kingston upon Thames,0.5466,518798,171205,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Brewers' Hall Garden,OS_Ci_0115,Civic/market square,City of London,0.0453,532447,181546,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Marchmont Community Garden,OS_Ca_0257,Community garden,Camden,0.0258,530182,182353,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cumberland Market,OS_Ca_0050,Park,Camden,0.4823,528936,182791,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St Luke's Church & Garden,OS_Is_0286,Formal garden,Islington,0.7555,532305,182460,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Galway House / Grayson House Amenity Area,OS_Is_0115,Park,Islington,0.1557,532401,182591,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Wharf Road Gardens,OS_Ca_0348,Formal garden,Camden,0.1862,530239,183515,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
UCL Courtyard (Gower Gardens),OS_Ca_0196,Civic/market square,Camden,0.4488,529550,182273,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Basire Street Gardens,OS_Is_0309,Play space,Islington,0.197,532374,183877,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Lambeth Cemetery,OS_Wa_0109,Cemetery/churchyard,Wandsworth,20.8599,526503,171386,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Horse Shoe Green,OS_Su_0610,Amenity green space,Sutton,0.1011,525960,165691,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Bartholomew Close,OS_Ci_0018,Civic/market square,City of London,0.0077,532012,181613,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Tapestry Court,OS_RT_0454,Park,Richmond upon Thames,0.0422,520812,175994,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
John Innes Park,OS_Me_0095,Park,Merton,2.2832,524818,169337,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Garden Of Rest Marylebone High Road,OS_We_0049,Formal garden,Westminster,0.0333,528321,181954,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"Gardens, Adjacent To 81 Cadogan Gardens",OS_KC_0124,Formal garden,Kensington and Chelsea,0.0326,527771,178775,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St. Andrew Undershaft (St.Mary Axe),OS_Ci_0195,Cemetery/churchyard,City of London,0.0254,533253,181178,Centroid,Restricted,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"Amenity Area (west), Albert Bridge",OS_KC_0013,Amenity green space,Kensington and Chelsea,0.0505,527331,177624,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Lavender Park,OS_Me_0108,Recreation ground,Merton,3.6842,527315,169733,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Ealing Common,OS_Ea_0130,Common,Ealing,15.6124,518509,180415,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Brookes Market Open Space,OS_Ca_0252,Civic/market square,Camden,0.0548,531210,181757,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
The Lawns (Croydon),OS_Cr_0320,Park,Croydon,6.0115,532851,169785,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
